Date energy temp weekday season non_working split
2016-10-30 2.724 22.22222222222222 Sunday summer non-working train
2014-10-27 2.935 22.77777777777778 Monday summer working cv
2018-10-09 2.81404243039453 22.77777777777778 Tuesday summer working train
2017-08-07 3.571519071824953 25.555555555555554 Monday summer working train
2016-09-03 2.667 20.0 Saturday summer non-working train
2018-09-28 2.9340924698196504 22.22222222222222 Friday summer working cv
2015-10-15 3.467 25.833333333333332 Thursday summer working train
2014-08-24 3.012 25.0 Sunday summer non-working train
2017-09-15 2.8438824620991516 23.88888888888889 Friday summer working cv
2014-09-10 3.924 26.666666666666664 Wednesday summer working train
2018-09-06 3.0691887759422998 24.444444444444443 Thursday summer working train
2018-08-28 3.33180365639924 26.11111111111111 Tuesday summer working train
2017-10-09 2.994621907472835 24.444444444444443 Monday summer non-working cv
2016-10-03 2.932 23.333333333333332 Monday summer working cv
2014-08-30 3.483 26.11111111111111 Saturday summer non-working train
2017-08-18 2.9793596964404525 24.444444444444443 Friday summer working train
2014-06-20 3.048 22.22222222222222 Friday summer working cv
2015-07-12 2.803 23.88888888888889 Sunday summer non-working cv
2015-10-27 3.13 26.944444444444443 Tuesday summer working cv
2017-09-03 3.4465224873947333 32.77777777777778 Sunday summer non-working train
2016-07-14 3.21 24.444444444444443 Thursday summer working cv
2017-07-29 2.8751611369330483 23.88888888888889 Saturday summer non-working train
2018-08-30 3.47061662330616 27.22222222222222 Thursday summer working train
2017-06-26 3.7482300478546873 27.77777777777778 Monday summer working train
2016-10-16 2.788 23.88888888888889 Sunday summer non-working train
2017-08-22 3.0877307015451803 24.444444444444443 Tuesday summer working cv
2016-07-31 3.318 24.444444444444443 Sunday summer non-working train
2015-06-02 2.684 21.11111111111111 Tuesday summer working train
2015-06-07 2.655 21.666666666666668 Sunday summer non-working train
2018-08-23 3.5910762211097604 26.666666666666664 Thursday summer working train
2014-09-26 3.463 25.555555555555554 Friday summer working cv
2018-07-19 3.35581736928594 25.27777777777778 Thursday summer working train
2017-06-30 2.7380294677321997 21.666666666666668 Friday summer working cv
2017-09-21 2.7595996763312187 22.77777777777778 Thursday summer working train
2015-07-20 3.56 24.444444444444443 Monday summer working train
2018-06-24 2.5331324121718497 20.555555555555554 Sunday summer non-working train
2016-10-09 3.114 28.88888888888889 Sunday summer non-working cv
2015-08-11 3.044 24.444444444444443 Tuesday summer working train
2018-06-02 2.56065833807732 21.666666666666668 Saturday summer non-working train
2014-07-30 4.011 26.666666666666664 Wednesday summer working train
