
ate energy temp weekday season non_working split
2014-01-01 2.773 19.444444444444443 Wednesday winter non-working train
2014-01-02 2.963 20.555555555555554 Thursday winter working cv
2014-01-03 2.908 18.88888888888889 Friday winter working train
2014-01-04 2.778 18.88888888888889 Saturday winter non-working train
2014-01-05 2.782 23.333333333333332 Sunday winter non-working train
2014-01-06 2.935 23.333333333333332 Monday winter working train
2014-01-07 2.932 17.77777777777778 Tuesday winter working train
2014-01-08 2.974 17.22222222222222 Wednesday winter working train
2014-01-09 2.954 17.22222222222222 Thursday winter working train
2014-01-10 2.858 20.555555555555554 Friday winter working train
2014-01-11 2.746 20.555555555555554 Saturday winter non-working train
2014-01-12 2.773 17.22222222222222 Sunday winter non-working train
2014-01-13 2.97 26.11111111111111 Monday winter working train
2014-01-14 3.007 25.0 Tuesday winter working train
2014-01-15 2.978 27.22222222222222 Wednesday winter working train
2014-01-16 2.952 27.22222222222222 Thursday winter working train
2014-01-17 2.841 27.22222222222222 Friday winter working train
2014-01-18 2.692 25.0 Saturday winter non-working train
2014-01-19 2.697 21.666666666666668 Sunday winter non-working train
2014-01-20 2.91 22.22222222222222 Monday winter non-working train
2014-01-21 2.913 24.444444444444443 Tuesday winter working cv
2014-01-22 2.848 21.11111111111111 Wednesday winter working train
2014-01-23 2.869 18.333333333333332 Thursday winter working cv
2014-01-24 2.823 18.88888888888889 Friday winter working train
2014-01-25 2.659 22.22222222222222 Saturday winter non-working cv
2014-01-26 2.708 20.0 Sunday winter non-working train
2014-01-27 2.924 20.555555555555554 Monday winter working train
2014-01-28 2.909 17.77777777777778 Tuesday winter working train
2014-01-29 2.914 19.444444444444443 Wednesday winter working train
2014-01-30 2.821 17.5 Thursday winter working train
2014-01-31 2.846 16.666666666666668 Friday winter working cv
2014-02-01 2.724 17.77777777777778 Saturday winter non-working cv
2014-02-02 2.67 16.666666666666668 Sunday winter non-working cv
2014-02-03 3.002 16.11111111111111 Monday winter working train
2014-02-04 2.923 16.11111111111111 Tuesday winter working train
2014-02-05 2.924 16.666666666666668 Wednesday winter working train
2014-02-06 2.97 16.944444444444443 Thursday winter working train
2014-02-07 2.843 17.77777777777778 Friday winter working train
2014-02-08 2.693 18.333333333333332 Saturday winter non-working cv
2014-02-09 2.742 18.88888888888889 Sunday winter non-working train
2014-02-10 2.951 18.333333333333332 Monday winter working cv
2014-02-11 2.914 20.555555555555554 Tuesday winter working train
2014-02-12 2.939 23.88888888888889 Wednesday winter working train
2014-02-13 2.92 23.333333333333332 Thursday winter working cv
2014-02-14 2.863 22.77777777777778 Friday winter working train
2014-02-15 2.701 23.88888888888889 Saturday winter non-working train
2014-02-16 2.688 21.666666666666668 Sunday winter non-working train
2014-02-17 2.907 18.333333333333332 Monday winter non-working train
2014-02-18 2.938 17.22222222222222 Tuesday winter working train
2014-02-19 2.932 17.77777777777778 Wednesday winter working cv
2014-02-20 2.948 23.333333333333332 Thursday winter working train
2014-02-21 2.841 23.88888888888889 Friday winter working train
2014-02-22 2.662 20.555555555555554 Saturday winter non-working train
2014-02-23 2.732 20.555555555555554 Sunday winter non-working train
2014-02-24 2.945 20.0 Monday winter working train
2014-02-25 2.942 18.333333333333332 Tuesday winter working cv
2014-02-26 2.918 18.88888888888889 Wednesday winter working train
2014-02-27 2.904 19.166666666666668 Thursday winter working train
2014-02-28 2.881 18.88888888888889 Friday winter working train
2014-03-01 2.74 17.77777777777778 Saturday winter non-working train
2014-03-02 2.749 18.88888888888889 Sunday winter non-working train
2014-03-03 2.92 18.88888888888889 Monday winter working train
2014-03-04 2.868 18.88888888888889 Tuesday winter working train
2014-03-05 2.891 19.444444444444443 Wednesday winter working cv
2014-03-06 2.906 20.555555555555554 Thursday winter working train
2014-03-07 2.801 19.444444444444443 Friday winter working cv
2014-03-08 2.686 26.666666666666664 Saturday winter non-working train
2014-03-09 2.733 27.77777777777778 Sunday winter non-working train
2014-03-10 2.887 24.444444444444443 Monday winter working train
2014-03-11 2.846 19.444444444444443 Tuesday winter working train
2014-03-12 2.806 18.88888888888889 Wednesday winter working train
2014-03-13 2.765 18.88888888888889 Thursday winter working train
2014-03-14 2.692 20.555555555555554 Friday winter working train
2014-03-15 2.63 22.77777777777778 Saturday winter non-working cv
2014-03-16 2.747 28.333333333333332 Sunday winter non-working cv
2014-03-17 2.827 21.11111111111111 Monday winter working cv
2014-03-18 2.797 18.88888888888889 Tuesday winter working train
2014-03-19 2.796 20.0 Wednesday winter working cv
2014-03-20 2.761 21.11111111111111 Thursday winter working train
2014-03-21 2.621 18.88888888888889 Friday winter working train
2014-03-22 2.511 18.333333333333332 Saturday winter non-working train
2014-03-23 2.591 19.444444444444443 Sunday winter non-working train
2014-03-24 2.772 20.0 Monday winter working cv
2014-03-25 2.755 17.77777777777778 Tuesday winter working cv
2014-03-26 2.731 18.88888888888889 Wednesday winter working train
2014-03-27 2.704 18.88888888888889 Thursday winter working cv
2014-03-28 2.645 20.0 Friday winter working cv
2014-03-29 2.544 21.11111111111111 Saturday winter non-working cv
2014-03-30 2.563 20.0 Sunday winter non-working train
2014-03-31 2.703 18.88888888888889 Monday winter working cv
2014-04-01 2.693 17.77777777777778 Tuesday winter working train
2014-04-02 2.7 17.77777777777778 Wednesday winter working train
2014-04-03 2.77 18.333333333333332 Thursday winter working cv
2014-04-04 2.591 17.22222222222222 Friday winter working train
2014-04-05 2.485 18.88888888888889 Saturday winter non-working train
2014-04-06 2.561 22.22222222222222 Sunday winter non-working cv
2014-04-07 2.746 26.11111111111111 Monday winter working cv
2014-04-08 2.943 29.444444444444443 Tuesday winter working train
2014-04-09 2.9 27.22222222222222 Wednesday winter working train
2014-04-10 2.759 21.666666666666668 Thursday winter working train
2014-04-11 2.685 23.88888888888889 Friday winter working cv
2014-04-12 2.509 19.444444444444443 Saturday winter non-working cv
2014-04-13 2.552 18.333333333333332 Sunday winter non-working cv
2014-04-14 2.804 23.333333333333332 Monday winter working train
2014-04-15 2.754 19.444444444444443 Tuesday winter working train
2014-04-16 2.729 18.333333333333332 Wednesday winter working train
2014-04-17 2.691 18.333333333333332 Thursday winter working train
2014-04-18 2.629 19.444444444444443 Friday winter working train
2014-04-19 2.601 21.11111111111111 Saturday winter non-working train
2014-04-20 2.566 20.0 Sunday winter non-working cv
2014-04-21 2.787 20.555555555555554 Monday winter working cv
2014-04-22 2.729 20.0 Tuesday winter working train
2014-04-23 2.745 21.11111111111111 Wednesday winter working train
2014-04-24 2.76 20.555555555555554 Thursday winter working train
2014-04-25 2.644 18.333333333333332 Friday winter working train
2014-04-26 2.508 17.77777777777778 Saturday winter non-working train
2014-04-27 2.56 19.444444444444443 Sunday winter non-working cv
2014-04-28 2.794 21.38888888888889 Monday winter working train
2014-04-29 3.129 32.22222222222222 Tuesday winter working cv
2014-04-30 3.319 34.44444444444444 Wednesday winter working cv
2014-05-01 3.479 35.0 Thursday winter working train
2014-05-02 3.533 32.22222222222222 Friday winter working train
2014-05-03 3.164 29.444444444444443 Saturday winter non-working train
2014-05-04 2.804 22.77777777777778 Sunday winter non-working train
2014-05-05 2.77 18.88888888888889 Monday winter working train
2014-05-06 2.705 18.88888888888889 Tuesday winter working train
2014-05-07 2.691 18.333333333333332 Wednesday winter working train
2014-05-08 2.709 18.333333333333332 Thursday winter working cv
2014-05-09 2.682 20.555555555555554 Friday winter working cv
2014-05-10 2.563 19.444444444444443 Saturday winter non-working train
2014-05-11 2.601 23.333333333333332 Sunday winter non-working train
2014-05-12 3.11 29.444444444444443 Monday winter working cv
2014-05-13 3.665 34.44444444444444 Tuesday winter working train
2014-05-14 3.898 33.05555555555556 Wednesday winter working train
2014-05-15 4.154 36.11111111111111 Thursday winter working train
2014-05-16 3.927 32.77777777777778 Friday winter working train
2014-05-17 2.907 21.11111111111111 Saturday winter non-working train
2014-05-18 2.81 21.11111111111111 Sunday winter non-working cv
2014-05-19 2.821 19.444444444444443 Monday winter working train
2014-05-20 2.726 20.555555555555554 Tuesday winter working train
2014-05-21 2.758 20.0 Wednesday winter working train
2014-05-22 2.682 18.88888888888889 Thursday winter working train
2014-05-23 2.65 21.666666666666668 Friday winter working train
2014-05-24 2.523 18.88888888888889 Saturday winter non-working cv
2014-05-25 2.583 22.22222222222222 Sunday winter non-working train
2014-05-26 2.807 22.77777777777778 Monday winter non-working cv
2014-05-27 3.055 21.666666666666668 Tuesday winter working train
2014-05-28 2.97 21.666666666666668 Wednesday winter working train
2014-05-29 2.937 21.666666666666668 Thursday winter working train
2014-05-30 2.883 22.22222222222222 Friday winter working train
2014-05-31 2.739 22.77777777777778 Saturday winter non-working train
