impedance velocity type outlier
5380.910347839799 2.450096471561375 shale normal
5376.78660359207 2.4410638695240587 shale normal
5387.72309273088 2.4613098479817634 shale normal
5404.2974382215 2.5045476155241047 shale normal
5423.0643172728 2.526493218676957 shale normal
5444.30564034238 2.5535308943423365 shale normal
5458.23111482388 2.5852852545719482 shale normal
5486.24511702678 2.612999015464838 shale normal
5518.34059389885 2.6091762919138133 shale normal
5552.9721190928 2.5726771925034573 shale normal
5578.071196374 2.5412449331780715 shale normal
5585.04546769751 2.5180424793569007 shale normal
5574.234037075111 2.5148284629251423 shale normal
5555.16324920147 2.5173638516205386 shale normal
5547.932959095199 2.515121251902363 shale normal
5559.5355054753 2.511990851837553 shale normal
5573.7382688195 2.4962742175842156 shale normal
5579.221533224099 2.4931499117029867 shale normal
5588.820678524 2.4980210016204394 shale normal
5596.5509710507 2.5110289656950413 shale normal
5592.43433028168 2.524783393064619 shale normal
5558.03526082818 2.5322498730305973 shale normal
5502.4216854871 2.5550903428747214 shale normal
5400.479980982691 2.5807532374918414 shale normal
5248.746688400671 2.595475850822256 shale normal
5140.412855789899 2.5696975338872967 shale normal
5138.37649958214 2.544683392151315 shale normal
5183.30470056924 2.5625392596876275 shale normal
5184.90260228038 2.62304529219709 shale normal
5155.97238582204 2.647747774611537 shale normal
5159.808068873401 2.6500919296231533 shale normal
5220.14484610992 2.659991193836085 shale normal
5345.0365986651195 2.6934122410868127 shale normal
5471.55866983261 2.705509468774257 shale normal
5542.93104141192 2.685834772482591 shale normal
5534.389172953681 2.64112155533886 shale normal
5479.36482618014 2.6308829745689 shale normal
5406.192894203899 2.617394119830956 shale normal
5353.6664075455 2.606411796568525 shale normal
5344.84661274617 2.5966265022368837 shale normal
5399.2866767064 2.6013632400719144 shale normal
5452.40692889932 2.6111430120930326 shale normal
5451.57695895384 2.619752436976858 shale normal
5354.0748126525 2.6687491236521668 shale normal
5319.177036773311 2.69425452053523 shale normal
5234.03281902975 2.719917835719153 shale normal
5179.4501734251 2.6851959620419676 shale normal
5226.313228449 2.655892053049277 shale normal
5285.360212005759 2.6507406442907997 shale normal
5281.83664620506 2.6871600599454952 shale normal
5240.19405699972 2.7594526986020047 shale normal
5205.759709299839 2.74611249905772 shale normal
5208.69538834164 2.729088288832309 shale normal
5251.2063668746 2.7015223473284524 shale normal
5316.9732769127095 2.7123675943137306 shale normal
5343.2497381330795 2.7194220223098604 shale normal
5308.60720115664 2.7251718298677083 shale normal
5270.17656060381 2.7386385266021955 shale normal
5279.122779071759 2.7553442379242594 shale normal
5320.330028014219 2.768859283934572 shale normal
5282.060506199221 2.7602424480561973 shale normal
5261.777488388399 2.760725048084682 shale normal
5279.6863841436 2.7639752024637723 shale normal
5321.06458992668 2.7645524300653066 shale normal
5340.67291442647 2.7686664618229244 shale normal
5338.260889859239 2.6822597077397936 shale normal
5344.3331674623 2.6534430206542847 shale normal
5365.996889589599 2.62073094868414 shale normal
5423.3693452386005 2.7138220367973025 shale normal
5419.056659560851 2.7387762406426557 shale normal
5419.203768916889 2.747619158676049 shale normal
5419.81371718059 2.741006300053884 shale normal
5395.9243176156 2.736135235730465 shale normal
5377.158774381599 2.7166357165006247 shale normal
5376.307877328959 2.6800730838619735 shale normal
5409.18842526078 2.645135880262 shale normal
5430.83492859094 2.629873904320482 shale normal
5439.261314614959 2.6189132681993814 shale normal
5453.4044126154995 2.6358846647682834 shale normal
5467.06231454908 2.653769169067269 shale normal
5356.54072261168 2.6743361037933173 shale normal
5364.79171864416 2.659040596164482 shale normal
5396.11824332706 2.668773891179472 shale normal
5359.02181612389 2.6547558821042814 shale normal
5350.91325980506 2.6851008407245307 shale normal
5347.5774610526405 2.719490551438581 shale normal
5380.177458935401 2.736698445658032 shale normal
5210.850767732481 2.645273892912129 shale normal
5204.55951601416 2.645319333751948 shale normal
5251.66194458532 2.688718433038998 shale normal
5318.758939550021 2.7287171121328195 shale normal
5375.98659716496 2.768234983863704 shale normal
5413.25367576588 2.8102028940584103 shale normal
5409.3940191661195 2.8075046846168394 shale normal
5324.90983631611 2.641264141054148 shale normal
5361.696178942349 2.64683908046125 shale normal
5491.717377148799 2.6950857179193934 shale normal
5537.753613371259 2.6914227859432986 shale normal
5581.4104969093 2.672312911595511 shale normal
5595.18360892865 2.6626530074457757 shale normal
5579.5896190329795 2.665990155974124 shale normal
5565.93212340363 2.67195911086911 shale normal
5540.5756017861 2.6784221400070454 shale normal
5487.973577457399 2.670535986273785 shale normal
5461.11527685 2.6616204270113526 shale normal
5394.248842746179 2.6283879615309274 shale normal
5391.48696794152 2.641407275458407 shale normal
5384.30610003612 2.6457033087612802 shale normal
5405.549690365499 2.6572254699549456 shale normal
5403.448086089899 2.6622903907925046 shale normal
5374.47547524678 2.659845106785505 shale normal
5357.817134407561 2.678642326106999 shale normal
5400.57276345762 2.6965983437929566 shale normal
5452.1011545728 2.741395160407034 shale normal
5391.50099052258 2.7128784972019835 shale normal
5218.15832598102 2.658759296609663 shale normal
5002.71357021072 2.6081626574543564 shale normal
